id,value,location,sample date,measure
2565788,597,Busarakhan,6-Apr-14,Total dissolved salts
2565790,0.0201,Busarakhan,6-Apr-14,Nitrites
2565791,1.4584,Busarakhan,6-Apr-14,Nitrates
2565793,0.0137,Busarakhan,6-Apr-14,Orthophosphate-phosphorus
2565795,19.8,Busarakhan,6-Apr-14,Sodium
2565796,2.5,Busarakhan,6-Apr-14,Potassium
2565798,14.11,Busarakhan,6-Apr-14,Magnesium
2565800,74.7,Busarakhan,6-Apr-14,Sulphates
2578034,7.35,Chai,9-Apr-14,Dissolved oxygen
2578038,319,Chai,9-Apr-14,Total dissolved salts
2578040,0.0179,Chai,9-Apr-14,Nitrites
2578041,1.87806,Chai,9-Apr-14,Nitrates
2578043,0.05216,Chai,9-Apr-14,Orthophosphate-phosphorus
2578045,2.62,Chai,9-Apr-14,Dissolved silicates
2578046,18.8,Chai,9-Apr-14,Sodium
2578047,2,Chai,9-Apr-14,Potassium
2578049,16.3,Chai,9-Apr-14,Magnesium
2578051,30.47,Chai,9-Apr-14,Sulphates
2578053,0,Chai,9-Apr-14,Manganese
2578067,0,Chai,9-Apr-14,"p,p-DDT"
2578068,0,Chai,9-Apr-14,gamma-Hexachlorocyclohexane
2579030,7.54,Chai,9-Apr-14,Dissolved oxygen
2579034,296,Chai,9-Apr-14,Total dissolved salts
2579036,0.0161,Chai,9-Apr-14,Nitrites
2579037,1.9178,Chai,9-Apr-14,Nitrates
2579039,0.04564,Chai,9-Apr-14,Orthophosphate-phosphorus
2579041,2.53,Chai,9-Apr-14,Dissolved silicates
2579042,19.2,Chai,9-Apr-14,Sodium
2579043,2.1,Chai,9-Apr-14,Potassium
2579045,14.1,Chai,9-Apr-14,Magnesium
2579047,32.27,Chai,9-Apr-14,Sulphates
2579049,0,Chai,9-Apr-14,Manganese
2579063,0,Chai,9-Apr-14,"p,p-DDT"
2579064,0,Chai,9-Apr-14,gamma-Hexachlorocyclohexane
2580024,7.48,Chai,9-Apr-14,Dissolved oxygen
2580028,291,Chai,9-Apr-14,Total dissolved salts
2580030,0.017,Chai,9-Apr-14,Nitrites
2580031,1.9578,Chai,9-Apr-14,Nitrates
2580033,0.03912,Chai,9-Apr-14,Orthophosphate-phosphorus
2580035,2.56,Chai,9-Apr-14,Dissolved silicates
2580036,19.6,Chai,9-Apr-14,Sodium
2580037,2.1,Chai,9-Apr-14,Potassium
2580039,18.7,Chai,9-Apr-14,Magnesium
2580041,33.97,Chai,9-Apr-14,Sulphates
2580043,0,Chai,9-Apr-14,Manganese
2580057,0,Chai,9-Apr-14,"p,p-DDT"
2580058,0,Chai,9-Apr-14,gamma-Hexachlorocyclohexane
2561359,10.44,Boonsri,11-Apr-14,Dissolved oxygen
2561360,100.09,Boonsri,11-Apr-14,Oxygen saturation
2561362,173.66,Boonsri,11-Apr-14,Total hardness
2561366,199,Boonsri,11-Apr-14,Total dissolved salts
2561368,0.014,Boonsri,11-Apr-14,Nitrites
2561369,0.9,Boonsri,11-Apr-14,Nitrates
2561371,0.021,Boonsri,11-Apr-14,Orthophosphate-phosphorus
2561373,6,Boonsri,11-Apr-14,Dissolved silicates
2561374,19,Boonsri,11-Apr-14,Sodium
2561375,2,Boonsri,11-Apr-14,Potassium
2561377,12.61,Boonsri,11-Apr-14,Magnesium
2561379,28.63,Boonsri,11-Apr-14,Sulphates
2562626,10.87,Boonsri,11-Apr-14,Dissolved oxygen
2562627,103.03,Boonsri,11-Apr-14,Oxygen saturation
2562629,169.56,Boonsri,11-Apr-14,Total hardness
2562633,202,Boonsri,11-Apr-14,Total dissolved salts
2562635,0.012,Boonsri,11-Apr-14,Nitrites
2562636,0.94,Boonsri,11-Apr-14,Nitrates
2562638,0.014,Boonsri,11-Apr-14,Orthophosphate-phosphorus
2562640,5.7,Boonsri,11-Apr-14,Dissolved silicates
2562641,20,Boonsri,11-Apr-14,Sodium
2562642,2,Boonsri,11-Apr-14,Potassium
2562644,10.67,Boonsri,11-Apr-14,Magnesium
2562646,29.96,Boonsri,11-Apr-14,Sulphates
2563721,11.23,Boonsri,11-Apr-14,Dissolved oxygen
2563722,107.67,Boonsri,11-Apr-14,Oxygen saturation
2563724,161.44,Boonsri,11-Apr-14,Total hardness
2563728,188,Boonsri,11-Apr-14,Total dissolved salts
2563730,0.014,Boonsri,11-Apr-14,Nitrites
2563731,0.85,Boonsri,11-Apr-14,Nitrates
