id,value,location,sample date,measure
2565788,597,Busarakhan,6-Apr-14,Total dissolved salts
2565789,0.18954,Busarakhan,6-Apr-14,Ammonium
2565790,0.0201,Busarakhan,6-Apr-14,Nitrites
2565791,1.4584,Busarakhan,6-Apr-14,Nitrates
2565792,1.7,Busarakhan,6-Apr-14,Total nitrogen
2565793,0.0137,Busarakhan,6-Apr-14,Orthophosphate-phosphorus
2565794,0.044,Busarakhan,6-Apr-14,Total phosphorus
2565795,19.8,Busarakhan,6-Apr-14,Sodium
2565796,2.5,Busarakhan,6-Apr-14,Potassium
2565797,73.22,Busarakhan,6-Apr-14,Calcium
2565798,14.11,Busarakhan,6-Apr-14,Magnesium
2565799,50.2,Busarakhan,6-Apr-14,Chlorides
2565800,74.7,Busarakhan,6-Apr-14,Sulphates
2565810,1.77,Busarakhan,6-Apr-14,Biochemical Oxygen
2565811,29.37,Busarakhan,6-Apr-14,Chemical Oxygen Demand (Cr)
2565812,0,Busarakhan,6-Apr-14,Anionic active surfactants
2578031,12.7,Chai,9-Apr-14,Water temperature
2578034,7.35,Chai,9-Apr-14,Dissolved oxygen
2578038,319,Chai,9-Apr-14,Total dissolved salts
2578039,0.07488,Chai,9-Apr-14,Ammonium
2578040,0.0179,Chai,9-Apr-14,Nitrites
2578041,1.87806,Chai,9-Apr-14,Nitrates
2578042,1.98,Chai,9-Apr-14,Total nitrogen
2578043,0.05216,Chai,9-Apr-14,Orthophosphate-phosphorus
2578044,0.07,Chai,9-Apr-14,Total phosphorus
2578045,2.62,Chai,9-Apr-14,Dissolved silicates
2578046,18.8,Chai,9-Apr-14,Sodium
2578047,2,Chai,9-Apr-14,Potassium
2578048,57.8,Chai,9-Apr-14,Calcium
2578049,16.3,Chai,9-Apr-14,Magnesium
2578050,37.82,Chai,9-Apr-14,Chlorides
2578051,30.47,Chai,9-Apr-14,Sulphates
2578053,0,Chai,9-Apr-14,Manganese
2578062,1.81,Chai,9-Apr-14,Biochemical Oxygen
2578063,19.58,Chai,9-Apr-14,Chemical Oxygen Demand (Cr)
2578064,0,Chai,9-Apr-14,Anionic active surfactants
2578066,0,Chai,9-Apr-14,Atrazine
2578067,0,Chai,9-Apr-14,"p,p-DDT"
2578068,0,Chai,9-Apr-14,gamma-Hexachlorocyclohexane
2579027,12,Chai,9-Apr-14,Water temperature
2579030,7.54,Chai,9-Apr-14,Dissolved oxygen
2579034,296,Chai,9-Apr-14,Total dissolved salts
2579035,0,Chai,9-Apr-14,Ammonium
2579036,0.0161,Chai,9-Apr-14,Nitrites
2579037,1.9178,Chai,9-Apr-14,Nitrates
2579038,1.97,Chai,9-Apr-14,Total nitrogen
2579039,0.04564,Chai,9-Apr-14,Orthophosphate-phosphorus
2579040,0.06,Chai,9-Apr-14,Total phosphorus
2579041,2.53,Chai,9-Apr-14,Dissolved silicates
2579042,19.2,Chai,9-Apr-14,Sodium
2579043,2.1,Chai,9-Apr-14,Potassium
2579044,54,Chai,9-Apr-14,Calcium
2579045,14.1,Chai,9-Apr-14,Magnesium
2579046,36.45,Chai,9-Apr-14,Chlorides
2579047,32.27,Chai,9-Apr-14,Sulphates
2579049,0,Chai,9-Apr-14,Manganese
2579058,1.24,Chai,9-Apr-14,Biochemical Oxygen
2579059,19.58,Chai,9-Apr-14,Chemical Oxygen Demand (Cr)
2579060,0,Chai,9-Apr-14,Anionic active surfactants
2579062,0,Chai,9-Apr-14,Atrazine
2579063,0,Chai,9-Apr-14,"p,p-DDT"
2579064,0,Chai,9-Apr-14,gamma-Hexachlorocyclohexane
2580021,12.6,Chai,9-Apr-14,Water temperature
2580024,7.48,Chai,9-Apr-14,Dissolved oxygen
2580028,291,Chai,9-Apr-14,Total dissolved salts
2580029,0,Chai,9-Apr-14,Ammonium
2580030,0.017,Chai,9-Apr-14,Nitrites
2580031,1.9578,Chai,9-Apr-14,Nitrates
2580032,1.99,Chai,9-Apr-14,Total nitrogen
2580033,0.03912,Chai,9-Apr-14,Orthophosphate-phosphorus
2580034,0.05,Chai,9-Apr-14,Total phosphorus
2580035,2.56,Chai,9-Apr-14,Dissolved silicates
2580036,19.6,Chai,9-Apr-14,Sodium
2580037,2.1,Chai,9-Apr-14,Potassium
2580038,50.1,Chai,9-Apr-14,Calcium
2580039,18.7,Chai,9-Apr-14,Magnesium
2580040,35.07,Chai,9-Apr-14,Chlorides
2580041,33.97,Chai,9-Apr-14,Sulphates
2580043,0,Chai,9-Apr-14,Manganese
2580052,2.11,Chai,9-Apr-14,Biochemical Oxygen
2580053,23.5,Chai,9-Apr-14,Chemical Oxygen Demand (Cr)
2580054,0,Chai,9-Apr-14,Anionic active surfactants
2580056,0,Chai,9-Apr-14,Atrazine
2580057,0,Chai,9-Apr-14,"p,p-DDT"
2580058,0,Chai,9-Apr-14,gamma-Hexachlorocyclohexane
2561356,12,Boonsri,11-Apr-14,Water temperature
2561359,10.44,Boonsri,11-Apr-14,Dissolved oxygen
2561360,100.09,Boonsri,11-Apr-14,Oxygen saturation
2561362,173.66,Boonsri,11-Apr-14,Total hardness
2561363,156.77,Boonsri,11-Apr-14,Bicarbonates
2561366,199,Boonsri,11-Apr-14,Total dissolved salts
2561367,0.041,Boonsri,11-Apr-14,Ammonium
2561368,0.014,Boonsri,11-Apr-14,Nitrites
2561369,0.9,Boonsri,11-Apr-14,Nitrates
2561370,1.23,Boonsri,11-Apr-14,Total nitrogen
2561371,0.021,Boonsri,11-Apr-14,Orthophosphate-phosphorus
2561372,0.067,Boonsri,11-Apr-14,Total phosphorus
2561373,6,Boonsri,11-Apr-14,Dissolved silicates
2561374,19,Boonsri,11-Apr-14,Sodium
2561375,2,Boonsri,11-Apr-14,Potassium
2561376,48.57,Boonsri,11-Apr-14,Calcium
2561377,12.61,Boonsri,11-Apr-14,Magnesium
2561378,13.61,Boonsri,11-Apr-14,Chlorides
2561379,28.63,Boonsri,11-Apr-14,Sulphates
2561381,2.32,Boonsri,11-Apr-14,Biochemical Oxygen
2561382,9.3,Boonsri,11-Apr-14,Chemical Oxygen Demand (Cr)
2561383,3.25,Boonsri,11-Apr-14,Chemical Oxygen Demand (Mn)
2561384,4.065,Boonsri,11-Apr-14,Total organic carbon
2561385,0.129,Boonsri,11-Apr-14,Anionic active surfactants
2562623,11.5,Boonsri,11-Apr-14,Water temperature
2562626,10.87,Boonsri,11-Apr-14,Dissolved oxygen
2562627,103.03,Boonsri,11-Apr-14,Oxygen saturation
2562629,169.56,Boonsri,11-Apr-14,Total hardness
2562630,155.55,Boonsri,11-Apr-14,Bicarbonates
2562633,202,Boonsri,11-Apr-14,Total dissolved salts
2562634,0,Boonsri,11-Apr-14,Ammonium
2562635,0.012,Boonsri,11-Apr-14,Nitrites
2562636,0.94,Boonsri,11-Apr-14,Nitrates
2562637,1.23,Boonsri,11-Apr-14,Total nitrogen
2562638,0.014,Boonsri,11-Apr-14,Orthophosphate-phosphorus
2562639,0.052,Boonsri,11-Apr-14,Total phosphorus
2562640,5.7,Boonsri,11-Apr-14,Dissolved silicates
2562641,20,Boonsri,11-Apr-14,Sodium
2562642,2,Boonsri,11-Apr-14,Potassium
2562643,50.19,Boonsri,11-Apr-14,Calcium
2562644,10.67,Boonsri,11-Apr-14,Magnesium
2562645,12.92,Boonsri,11-Apr-14,Chlorides
2562646,29.96,Boonsri,11-Apr-14,Sulphates
2562648,1.89,Boonsri,11-Apr-14,Biochemical Oxygen
2562649,7.44,Boonsri,11-Apr-14,Chemical Oxygen Demand (Cr)
