value,location,sample date,measure
0,Boonsri,14-Jan-05,Heptachloroepoxide
0,Boonsri,14-Jan-05,Heptachlor
0,Boonsri,14-Jan-05,Endosulfan (alpha)
0,Boonsri,14-Jan-05,Endosulfan (beta)
0,Boonsri,14-Jan-05,"p,p-DDD"
0,Boonsri,14-Jan-05,alpha-Hexachlorocyclohexane
0,Boonsri,14-Jan-05,Aldrin
0,Boonsri,14-Jan-05,Mercury
0,Boonsri,14-Jan-05,Heptachloroepoxide
0,Boonsri,14-Jan-05,Heptachlor
0,Boonsri,14-Jan-05,Endosulfan (alpha)
0,Boonsri,14-Jan-05,Endosulfan (beta)
0,Boonsri,14-Jan-05,alpha-Hexachlorocyclohexane
0,Boonsri,14-Jan-05,Aldrin
0,Boonsri,14-Jan-05,Dieldrin
0,Boonsri,14-Jan-05,Mercury
0,Boonsri,14-Jan-05,Heptachloroepoxide
0,Boonsri,14-Jan-05,Heptachlor
0,Boonsri,14-Jan-05,Endosulfan (alpha)
0,Boonsri,14-Jan-05,Endosulfan (beta)
0,Boonsri,14-Jan-05,"p,p-DDD"
0,Boonsri,14-Jan-05,"p,p-DDE"
0,Boonsri,14-Jan-05,alpha-Hexachlorocyclohexane
0,Boonsri,14-Jan-05,Aldrin
0,Boonsri,14-Jan-05,Dieldrin
0.009,Boonsri,14-Jan-05,"p,p-DDE"
0.009,Boonsri,14-Jan-05,beta-Hexaxchlorocyclohexane
0.01,Boonsri,14-Jan-05,Petroleum hydrocarbons
0.013,Boonsri,14-Jan-05,"p,p-DDD"
0.013,Boonsri,14-Jan-05,beta-Hexaxchlorocyclohexane
0.013,Boonsri,14-Jan-05,gamma-Hexachlorocyclohexane
0.015,Boonsri,14-Jan-05,gamma-Hexachlorocyclohexane
0.02,Boonsri,14-Jan-05,Manganese
0.025,Boonsri,14-Jan-05,Anionic active surfactants
0.025,Boonsri,14-Jan-05,Anionic active surfactants
0.025,Boonsri,14-Jan-05,Anionic active surfactants
0.027,Boonsri,14-Jan-05,beta-Hexaxchlorocyclohexane
0.028,Boonsri,14-Jan-05,"p,p-DDE"
0.029,Boonsri,14-Jan-05,gamma-Hexachlorocyclohexane
0.048,Boonsri,14-Jan-05,Nitrites
0.048,Boonsri,14-Jan-05,Nitrites
0.048,Boonsri,14-Jan-05,Nitrites
0.049,Boonsri,14-Jan-05,Endrin
0.078,Boonsri,14-Jan-05,Atrazine
0.091,Boonsri,14-Jan-05,Orthophosphate-phosphorus
0.092,Boonsri,14-Jan-05,Dieldrin
0.093,Boonsri,14-Jan-05,Endrin
0.097,Boonsri,14-Jan-05,Orthophosphate-phosphorus
0.1,Boonsri,14-Jan-05,Total phosphorus
0.1,Boonsri,14-Jan-05,Total phosphorus
0.11,Boonsri,14-Jan-05,Orthophosphate-phosphorus
0.119,Boonsri,14-Jan-05,Manganese
0.12,Boonsri,14-Jan-05,Total phosphorus
0.138,Boonsri,14-Jan-05,Atrazine
0.231,Boonsri,14-Jan-05,Endrin
0.26,Boonsri,14-Jan-05,Atrazine
0.266,Boonsri,14-Jan-05,Manganese
0.407,Boonsri,14-Jan-05,Mercury
0.429,Boonsri,14-Jan-05,Manganese
0.505,Boonsri,14-Jan-05,Ammonium
0.57,Boonsri,14-Jan-05,Ammonium
0.64,Boonsri,14-Jan-05,Ammonium
0.656,Boonsri,14-Jan-05,Cadmium
0.854,Boonsri,14-Jan-05,Iron
1.233,Boonsri,14-Jan-05,Cadmium
1.8,Boonsri,14-Jan-05,Water temperature
1.85,Boonsri,14-Jan-05,Nitrates
2,Boonsri,14-Jan-05,Water temperature
2.025,Boonsri,14-Jan-05,Iron
2.07,Boonsri,14-Jan-05,Nitrates
2.14,Boonsri,14-Jan-05,Nitrates
2.2,Boonsri,14-Jan-05,Water temperature
2.78,Boonsri,14-Jan-05,Biochemical Oxygen
3,Boonsri,14-Jan-05,Potassium
3,Boonsri,14-Jan-05,Potassium
3,Boonsri,14-Jan-05,Potassium
3.18,Boonsri,14-Jan-05,Biochemical Oxygen
3.309,Boonsri,14-Jan-05,Chromium
3.531,Boonsri,14-Jan-05,Chromium
3.84,Boonsri,14-Jan-05,Lead
3.96,Boonsri,14-Jan-05,Biochemical Oxygen
4.159,Boonsri,14-Jan-05,Iron
4.32,Boonsri,14-Jan-05,Chemical Oxygen Demand (Mn)
4.72,Boonsri,14-Jan-05,Chemical Oxygen Demand (Mn)
