value,location,sample date,measure
3,Chai,1-Jan-16,Water temperature
3,Chai,2-Jan-16,Water temperature
3,Chai,3-Jan-16,Water temperature
3,Chai,4-Jan-16,Water temperature
3.4,Chai,5-Jan-16,Water temperature
3.4,Chai,6-Jan-16,Water temperature
4,Chai,7-Jan-16,Water temperature
6,Boonsri,8-Jan-16,Water temperature
12.04,Boonsri,8-Jan-16,Dissolved oxygen
98.53,Boonsri,8-Jan-16,Oxygen saturation
162.25,Boonsri,8-Jan-16,Total hardness
184.83,Boonsri,8-Jan-16,Bicarbonates
291,Boonsri,8-Jan-16,Total dissolved salts
0.114,Boonsri,8-Jan-16,Ammonium
0.023,Boonsri,8-Jan-16,Nitrites
1.459,Boonsri,8-Jan-16,Nitrates
2.014,Boonsri,8-Jan-16,Total nitrogen
0.053,Boonsri,8-Jan-16,Orthophosphate-phosphorus
0.067,Boonsri,8-Jan-16,Total phosphorus
0.064,Boonsri,8-Jan-16,Total dissolved phosphorus
16,Boonsri,8-Jan-16,Sodium
3,Boonsri,8-Jan-16,Potassium
44.44,Boonsri,8-Jan-16,Calcium
12.61,Boonsri,8-Jan-16,Magnesium
18.26,Boonsri,8-Jan-16,Chlorides
34.54,Boonsri,8-Jan-16,Sulphates
1.85,Boonsri,8-Jan-16,Biochemical Oxygen
11.25,Boonsri,8-Jan-16,Chemical Oxygen Demand (Cr)
5.613,Boonsri,8-Jan-16,Total organic carbon
0.113,Boonsri,8-Jan-16,Anionic active surfactants
0,Boonsri,8-Jan-16,Petroleum hydrocarbons
17.9,Boonsri,8-Jan-16,AOX
0,Boonsri,8-Jan-16,Atrazine
0,Boonsri,8-Jan-16,"p,p-DDT"
0,Boonsri,8-Jan-16,gamma-Hexachlorocyclohexane
6,Boonsri,8-Jan-16,Water temperature
11.72,Boonsri,8-Jan-16,Dissolved oxygen
95.91,Boonsri,8-Jan-16,Oxygen saturation
158.33,Boonsri,8-Jan-16,Total hardness
189.71,Boonsri,8-Jan-16,Bicarbonates
273,Boonsri,8-Jan-16,Total dissolved salts
0.108,Boonsri,8-Jan-16,Ammonium
0.018,Boonsri,8-Jan-16,Nitrites
1.33,Boonsri,8-Jan-16,Nitrates
1.892,Boonsri,8-Jan-16,Total nitrogen
0.04,Boonsri,8-Jan-16,Orthophosphate-phosphorus
0.06,Boonsri,8-Jan-16,Total phosphorus
0.051,Boonsri,8-Jan-16,Total dissolved phosphorus
15,Boonsri,8-Jan-16,Sodium
2,Boonsri,8-Jan-16,Potassium
44.44,Boonsri,8-Jan-16,Calcium
11.64,Boonsri,8-Jan-16,Magnesium
11.47,Boonsri,8-Jan-16,Chlorides
33.76,Boonsri,8-Jan-16,Sulphates
1.82,Boonsri,8-Jan-16,Biochemical Oxygen
10.95,Boonsri,8-Jan-16,Chemical Oxygen Demand (Cr)
5.324,Boonsri,8-Jan-16,Total organic carbon
0,Boonsri,8-Jan-16,Anionic active surfactants
0,Boonsri,8-Jan-16,Petroleum hydrocarbons
18.2,Boonsri,8-Jan-16,AOX
0,Boonsri,8-Jan-16,Atrazine
0,Boonsri,8-Jan-16,"p,p-DDT"
0,Boonsri,8-Jan-16,gamma-Hexachlorocyclohexane
6,Boonsri,8-Jan-16,Water temperature
12.3,Boonsri,8-Jan-16,Dissolved oxygen
99.26,Boonsri,8-Jan-16,Oxygen saturation
154.4,Boonsri,8-Jan-16,Total hardness
190.93,Boonsri,8-Jan-16,Bicarbonates
270,Boonsri,8-Jan-16,Total dissolved salts
0.11,Boonsri,8-Jan-16,Ammonium
0.021,Boonsri,8-Jan-16,Nitrites
1.382,Boonsri,8-Jan-16,Nitrates
1.903,Boonsri,8-Jan-16,Total nitrogen
0.041,Boonsri,8-Jan-16,Orthophosphate-phosphorus
0.06,Boonsri,8-Jan-16,Total phosphorus
0.054,Boonsri,8-Jan-16,Total dissolved phosphorus
14,Boonsri,8-Jan-16,Sodium
2,Boonsri,8-Jan-16,Potassium
44.44,Boonsri,8-Jan-16,Calcium
10.67,Boonsri,8-Jan-16,Magnesium
16.82,Boonsri,8-Jan-16,Chlorides
36.95,Boonsri,8-Jan-16,Sulphates
1.75,Boonsri,8-Jan-16,Biochemical Oxygen
11.4,Boonsri,8-Jan-16,Chemical Oxygen Demand (Cr)
5.643,Boonsri,8-Jan-16,Total organic carbon
0.121,Boonsri,8-Jan-16,Anionic active surfactants
0,Boonsri,8-Jan-16,Petroleum hydrocarbons
17,Boonsri,8-Jan-16,AOX
0,Boonsri,8-Jan-16,Atrazine
0,Boonsri,8-Jan-16,"p,p-DDT"
0,Boonsri,8-Jan-16,gamma-Hexachlorocyclohexane
4,Chai,8-Jan-16,Water temperature
4,Chai,9-Jan-16,Water temperature
3.4,Kannika,9-Jan-16,Water temperature
13.51,Kannika,9-Jan-16,Dissolved oxygen
247.598,Kannika,9-Jan-16,Total hardness
219.6,Kannika,9-Jan-16,Bicarbonates
248.2,Kannika,9-Jan-16,Total dissolved salts
0.137,Kannika,9-Jan-16,Ammonium
0.023,Kannika,9-Jan-16,Nitrites
1.489,Kannika,9-Jan-16,Nitrates
1.98,Kannika,9-Jan-16,Total nitrogen
0.064,Kannika,9-Jan-16,Orthophosphate-phosphorus
0.089,Kannika,9-Jan-16,Total phosphorus
0.071,Kannika,9-Jan-16,Total dissolved phosphorus
21.4,Kannika,9-Jan-16,Sodium
3.4,Kannika,9-Jan-16,Potassium
65.73,Kannika,9-Jan-16,Calcium
20.43,Kannika,9-Jan-16,Magnesium
28.05,Kannika,9-Jan-16,Chlorides
30.49,Kannika,9-Jan-16,Sulphates
0,Kannika,9-Jan-16,Zinc
3.82,Kannika,9-Jan-16,Copper
1.15,Kannika,9-Jan-16,Chromium
0,Kannika,9-Jan-16,Lead
0,Kannika,9-Jan-16,Cadmium
0,Kannika,9-Jan-16,Mercury
1.94,Kannika,9-Jan-16,Nickel
1.5,Kannika,9-Jan-16,Arsenic
2.87,Kannika,9-Jan-16,Biochemical Oxygen
7.12,Kannika,9-Jan-16,Chemical Oxygen Demand (Cr)
4.86,Kannika,9-Jan-16,Chemical Oxygen Demand (Mn)
0,Kannika,9-Jan-16,Atrazine
0,Kannika,9-Jan-16,"p,p-DDT"
0,Kannika,9-Jan-16,gamma-Hexachlorocyclohexane
3.2,Kannika,9-Jan-16,Water temperature
13.38,Kannika,9-Jan-16,Dissolved oxygen
237.63,Kannika,9-Jan-16,Total hardness
213.5,Kannika,9-Jan-16,Bicarbonates
276.4,Kannika,9-Jan-16,Total dissolved salts
0.136,Kannika,9-Jan-16,Ammonium
0.022,Kannika,9-Jan-16,Nitrites
1.489,Kannika,9-Jan-16,Nitrates
1.98,Kannika,9-Jan-16,Total nitrogen
0.061,Kannika,9-Jan-16,Orthophosphate-phosphorus
0.079,Kannika,9-Jan-16,Total phosphorus
0.07,Kannika,9-Jan-16,Total dissolved phosphorus
21.3,Kannika,9-Jan-16,Sodium
3.2,Kannika,9-Jan-16,Potassium
64.93,Kannika,9-Jan-16,Calcium
18.48,Kannika,9-Jan-16,Magnesium
28.05,Kannika,9-Jan-16,Chlorides
29.52,Kannika,9-Jan-16,Sulphates
0,Kannika,9-Jan-16,Zinc
4.7,Kannika,9-Jan-16,Copper
1.23,Kannika,9-Jan-16,Chromium
0,Kannika,9-Jan-16,Lead
0,Kannika,9-Jan-16,Cadmium
0,Kannika,9-Jan-16,Mercury
1.71,Kannika,9-Jan-16,Nickel
1.6,Kannika,9-Jan-16,Arsenic
2.64,Kannika,9-Jan-16,Biochemical Oxygen
8.7,Kannika,9-Jan-16,Chemical Oxygen Demand (Cr)
4.8,Kannika,9-Jan-16,Chemical Oxygen Demand (Mn)
0,Kannika,9-Jan-16,Atrazine
0,Kannika,9-Jan-16,"p,p-DDT"
0,Kannika,9-Jan-16,gamma-Hexachlorocyclohexane
3.4,Kannika,9-Jan-16,Water temperature
13.72,Kannika,9-Jan-16,Dissolved oxygen
239.588,Kannika,9-Jan-16,Total hardness
213.5,Kannika,9-Jan-16,Bicarbonates
239.6,Kannika,9-Jan-16,Total dissolved salts
0.136,Kannika,9-Jan-16,Ammonium
0.022,Kannika,9-Jan-16,Nitrites
1.469,Kannika,9-Jan-16,Nitrates
1.95,Kannika,9-Jan-16,Total nitrogen
0.059,Kannika,9-Jan-16,Orthophosphate-phosphorus
0.083,Kannika,9-Jan-16,Total phosphorus
0.072,Kannika,9-Jan-16,Total dissolved phosphorus
21.3,Kannika,9-Jan-16,Sodium
3.2,Kannika,9-Jan-16,Potassium
65.73,Kannika,9-Jan-16,Calcium
18.48,Kannika,9-Jan-16,Magnesium
27.27,Kannika,9-Jan-16,Chlorides
30.44,Kannika,9-Jan-16,Sulphates
0,Kannika,9-Jan-16,Zinc
5.92,Kannika,9-Jan-16,Copper
1.54,Kannika,9-Jan-16,Chromium
0,Kannika,9-Jan-16,Lead
0.35,Kannika,9-Jan-16,Cadmium
0,Kannika,9-Jan-16,Mercury
1.65,Kannika,9-Jan-16,Nickel
1.4,Kannika,9-Jan-16,Arsenic
3,Kannika,9-Jan-16,Biochemical Oxygen
7.92,Kannika,9-Jan-16,Chemical Oxygen Demand (Cr)
4.92,Kannika,9-Jan-16,Chemical Oxygen Demand (Mn)
0,Kannika,9-Jan-16,Atrazine
0,Kannika,9-Jan-16,"p,p-DDT"
0,Kannika,9-Jan-16,gamma-Hexachlorocyclohexane
3.6,Sakda,9-Jan-16,Water temperature
12.53,Sakda,9-Jan-16,Dissolved oxygen
219.652,Sakda,9-Jan-16,Total hardness
219.6,Sakda,9-Jan-16,Bicarbonates
239.2,Sakda,9-Jan-16,Total dissolved salts
0.115,Sakda,9-Jan-16,Ammonium
0.022,Sakda,9-Jan-16,Nitrites
1.399,Sakda,9-Jan-16,Nitrates
1.84,Sakda,9-Jan-16,Total nitrogen
0.054,Sakda,9-Jan-16,Orthophosphate-phosphorus
